agg0: pro11 pro2 pro13 pro16 pro19 pro1 pro7 pro15 pro507 pro9 pro4 pro10 pro14 pro6 pro5 pro3 pro8 pro18 pro17 pro0 
agg1: pro46 pro42 pro728 pro12 pro802 pro551 pro926 pro151 pro289 pro63 pro756 pro228 pro824 pro198 pro163 pro123 pro651 pro191 pro488 pro724 
agg10: pro217 pro208 pro213 pro209 pro201 pro214 pro211 pro216 pro210 pro215 pro205 pro218 pro203 pro207 pro202 pro383 pro204 pro212 pro219 pro398 
agg11: pro225 pro221 pro227 pro233 pro96 pro235 pro223 pro237 pro236 pro229 pro222 pro239 pro220 pro234 pro224 pro238 pro226 pro230 pro429 pro231 
agg12: pro242 pro248 pro244 pro252 pro245 pro253 pro476 pro256 pro247 pro241 pro249 pro254 pro859 pro250 pro243 pro258 pro240 pro251 pro257 pro255 
agg13: pro669 pro678 pro674 pro676 pro679 pro664 pro277 pro264 pro261 pro274 pro272 pro269 pro265 pro275 pro403 pro262 pro267 pro263 pro270 pro271 
agg14: pro283 pro281 pro299 pro297 pro293 pro282 pro294 pro291 pro396 pro295 pro392 pro298 pro285 pro284 pro290 pro493 pro280 pro286 pro292 pro287 
agg15: pro310 pro305 pro300 pro317 pro319 pro313 pro303 pro309 pro312 pro302 pro307 pro306 pro301 pro206 pro304 pro308 pro314 pro318 pro315 pro316 
agg16: pro338 pro320 pro334 pro323 pro325 pro328 pro335 pro327 pro126 pro330 pro339 pro322 pro333 pro336 pro332 pro331 pro185 pro329 pro321 pro619 
agg17: pro356 pro358 pro359 pro355 pro345 pro353 pro352 pro348 pro346 pro342 pro340 pro349 pro357 pro354 pro344 pro341 pro350 pro385 pro351 pro343 
agg18: pro366 pro378 pro371 pro377 pro372 pro364 pro373 pro367 pro375 pro363 pro362 pro379 pro374 pro370 pro369 pro368 pro360 pro361 pro878 pro337 
agg19: agg44 agg39 agg4 agg9 agg14 agg34 agg29 agg24 agg26 agg49 agg3 agg41 agg46 agg43 agg48 agg11 
agg2: pro47 pro48 pro51 pro58 pro55 pro40 pro57 pro44 pro41 pro50 pro45 pro749 pro59 pro744 pro49 pro52 pro43 pro53 pro56 pro54 
