Source,Target,Cost
agg0,pro9,2
agg0,pro8,2
agg0,pro5,2
agg0,pro2,2
agg0,pro4,2
agg0,pro7,2
agg0,pro6,2
agg0,pro1,2
agg0,pro0,2
agg0,pro3,2
agg0,pro55,7
agg0,pro50,7
agg0,pro51,7
agg0,pro52,7
agg0,pro33,7
agg0,pro53,7
agg0,pro54,7
agg0,pro56,7
agg0,pro57,7
agg0,pro62,7
agg0,pro61,7
agg0,pro60,7
agg0,pro58,7
agg0,pro59,7
agg0,pro41,7
agg0,pro99,7
agg0,pro34,7
agg0,pro35,7
agg0,pro36,7
agg0,pro37,7
agg0,pro38,7
agg0,pro39,7
agg0,pro40,7
agg0,pro49,7
agg0,pro42,7
agg0,pro43,7
agg0,pro44,7
agg0,pro45,7
agg0,pro46,7
agg0,pro47,7
agg0,pro48,7
agg0,pro90,7
agg0,pro82,7
agg0,pro83,7
agg0,pro84,7
agg0,pro85,7
agg0,pro86,7
agg0,pro87,7
agg0,pro88,7
agg0,pro89,7
agg0,pro81,7
agg0,pro91,7
agg0,pro92,7
agg0,pro93,7
agg0,pro94,7
agg0,pro95,7
agg0,pro96,7
agg0,pro97,7
agg0,pro98,7
agg0,pro72,7
agg0,pro64,7
agg0,pro65,7
agg0,pro66,7
agg0,pro67,7
agg0,pro68,7
agg0,pro69,7
agg0,pro70,7
agg0,pro71,7
agg0,pro63,7
agg0,pro73,7
agg0,pro74,7
agg0,pro75,7
agg0,pro76,7
agg0,pro77,7
agg0,pro78,7
agg0,pro79,7
agg0,pro80,7
agg0,pro124,7
agg0,pro116,7
agg0,pro117,7
agg0,pro118,7
agg0,pro119,7
agg0,pro12,7
agg0,pro120,7
agg0,pro121,7
agg0,pro122,7
agg0,pro123,7
agg0,pro115,7
agg0,pro125,7
agg0,pro126,7
agg0,pro127,7
agg0,pro128,7
agg0,pro129,7
agg0,pro13,7
agg0,pro130,7
agg0,pro131,7
agg0,pro107,7
agg0,pro10,7
agg0,pro100,7
agg0,pro101,7
agg0,pro102,7
agg0,pro103,7
agg0,pro104,7
agg0,pro105,7
agg0,pro106,7
agg0,pro132,7
agg0,pro108,7
agg0,pro109,7
agg0,pro11,7
agg0,pro110,7
agg0,pro111,7
agg0,pro112,7
agg0,pro113,7
agg0,pro114,7
agg0,pro23,7
agg0,pro15,7
agg0,pro16,7
agg0,pro17,7
agg0,pro18,7
agg0,pro19,7
agg0,pro20,7
agg0,pro21,7
agg0,pro22,7
agg0,pro149,7
agg0,pro24,7
agg0,pro25,7
agg0,pro26,7
agg0,pro27,7
agg0,pro28,7
agg0,pro29,7
agg0,pro30,7
agg0,pro31,7
agg0,pro140,7
agg0,pro133,7
agg0,pro134,7
agg0,pro135,7
agg0,pro136,7
agg0,pro137,7
agg0,pro138,7
agg0,pro139,7
agg0,pro14,7
agg0,pro32,7
agg0,pro141,7
agg0,pro142,7
agg0,pro143,7
agg0,pro144,7
agg0,pro145,7
agg0,pro146,7
agg0,pro147,7
agg0,pro148,7
agg1,pro17,2
