Source,Target,Cost
agg0,pro1,5
agg0,pro0,5
agg0,pro4,5
agg0,pro3,5
agg0,pro2,5
agg0,pro29,9
agg0,pro28,9
agg0,pro27,9
agg0,pro26,9
agg0,pro25,9
agg0,pro36,10
agg0,pro9,10
agg0,pro37,10
agg0,pro38,10
agg0,pro39,10
agg0,pro40,10
agg0,pro41,10
agg0,pro42,10
agg0,pro43,10
agg0,pro44,10
agg0,pro45,10
agg0,pro46,10
agg0,pro47,10
agg0,pro48,10
agg0,pro49,10
agg0,pro5,10
agg0,pro6,10
agg0,pro7,10
agg0,pro8,10
agg0,pro20,10
agg0,pro10,10
agg0,pro11,10
agg0,pro12,10
agg0,pro13,10
agg0,pro14,10
agg0,pro15,10
agg0,pro16,10
agg0,pro17,10
agg0,pro18,10
agg0,pro19,10
agg0,pro35,10
agg0,pro21,10
agg0,pro22,10
agg0,pro23,10
agg0,pro24,10
agg0,pro30,10
agg0,pro31,10
agg0,pro32,10
agg0,pro33,10
agg0,pro34,10
agg1,pro9,5
agg1,pro8,5
agg1,pro7,5
agg1,pro6,5
agg1,pro5,5
agg1,pro31,9
agg1,pro34,9
agg1,pro33,9
agg1,pro32,9
agg1,pro30,9
agg1,pro45,10
agg1,pro37,10
agg1,pro38,10
agg1,pro39,10
agg1,pro4,10
agg1,pro40,10
agg1,pro41,10
agg1,pro42,10
agg1,pro43,10
agg1,pro44,10
agg1,pro36,10
agg1,pro46,10
agg1,pro47,10
agg1,pro48,10
agg1,pro49,10
agg1,pro13,10
agg1,pro12,10
agg1,pro11,10
agg1,pro10,10
agg1,pro1,10
agg1,pro27,10
agg1,pro19,10
agg1,pro2,10
agg1,pro20,10
agg1,pro21,10
agg1,pro22,10
agg1,pro23,10
agg1,pro24,10
agg1,pro25,10
agg1,pro26,10
agg1,pro18,10
agg1,pro28,10
agg1,pro29,10
agg1,pro3,10
agg1,pro17,10
agg1,pro0,10
agg1,pro16,10
agg1,pro15,10
agg1,pro14,10
agg1,pro35,10
agg10,pro1,5
agg10,pro0,5
agg10,pro4,5
agg10,pro3,5
agg10,pro2,5
agg10,pro29,9
agg10,pro28,9
agg10,pro27,9
agg10,pro26,9
agg10,pro25,9
agg10,pro36,10
agg10,pro9,10
agg10,pro37,10
agg10,pro38,10
agg10,pro39,10
agg10,pro40,10
agg10,pro41,10
agg10,pro42,10
agg10,pro43,10
agg10,pro44,10
agg10,pro45,10
agg10,pro46,10
agg10,pro47,10
agg10,pro48,10
agg10,pro49,10
agg10,pro5,10
agg10,pro6,10
agg10,pro7,10
agg10,pro8,10
agg10,pro20,10
agg10,pro10,10
agg10,pro11,10
agg10,pro12,10
agg10,pro13,10
agg10,pro14,10
agg10,pro15,10
agg10,pro16,10
agg10,pro17,10
agg10,pro18,10
agg10,pro19,10
agg10,pro35,10
agg10,pro21,10
agg10,pro22,10
agg10,pro23,10
agg10,pro24,10
agg10,pro30,10
agg10,pro31,10
agg10,pro32,10
agg10,pro33,10
agg10,pro34,10
agg11,pro9,5
agg11,pro8,5
agg11,pro7,5
agg11,pro6,5
agg11,pro5,5
agg11,pro31,9
agg11,pro34,9
agg11,pro33,9
agg11,pro32,9
agg11,pro30,9
agg11,pro45,10
agg11,pro37,10
agg11,pro38,10
agg11,pro39,10
agg11,pro4,10
agg11,pro40,10
agg11,pro41,10
agg11,pro42,10
agg11,pro43,10
agg11,pro44,10
agg11,pro36,10
agg11,pro46,10
agg11,pro47,10
agg11,pro48,10
agg11,pro49,10
agg11,pro13,10
agg11,pro12,10
agg11,pro11,10
agg11,pro10,10
agg11,pro1,10
agg11,pro27,10
agg11,pro19,10
agg11,pro2,10
agg11,pro20,10
agg11,pro21,10
agg11,pro22,10
agg11,pro23,10
agg11,pro24,10
agg11,pro25,10
agg11,pro26,10
agg11,pro18,10
agg11,pro28,10
agg11,pro29,10
agg11,pro3,10
agg11,pro17,10
agg11,pro0,10
agg11,pro16,10
agg11,pro15,10
agg11,pro14,10
agg11,pro35,10
agg12,pro10,5
agg12,pro11,5
agg12,pro12,5
agg12,pro13,5
agg12,pro14,5
agg12,pro35,9
agg12,pro36,9
agg12,pro37,9
agg12,pro38,9
agg12,pro39,9
agg12,pro43,10
agg12,pro46,10
agg12,pro42,10
agg12,pro41,10
agg12,pro40,10
agg12,pro4,10
agg12,pro34,10
agg12,pro44,10
agg12,pro45,10
agg12,pro31,10
agg12,pro47,10
agg12,pro48,10
agg12,pro49,10
agg12,pro5,10
agg12,pro6,10
agg12,pro7,10
agg12,pro8,10
agg12,pro9,10
agg12,pro23,10
agg12,pro1,10
agg12,pro15,10
agg12,pro16,10
agg12,pro17,10
agg12,pro18,10
agg12,pro19,10
agg12,pro2,10
agg12,pro20,10
agg12,pro21,10
agg12,pro22,10
agg12,pro33,10
agg12,pro24,10
agg12,pro25,10
agg12,pro26,10
agg12,pro27,10
agg12,pro28,10
agg12,pro29,10
agg12,pro3,10
agg12,pro30,10
agg12,pro0,10
agg12,pro32,10
agg13,pro19,5
agg13,pro18,5
agg13,pro15,5
agg13,pro16,5
agg13,pro17,5
agg13,pro43,9
agg13,pro44,9
agg13,pro42,9
agg13,pro41,9
agg13,pro40,9
agg13,pro39,10
agg13,pro38,10
agg13,pro4,10
agg13,pro37,10
agg13,pro36,10
agg13,pro35,10
agg13,pro34,10
agg13,pro46,10
agg13,pro45,10
agg13,pro31,10
agg13,pro47,10
agg13,pro48,10
agg13,pro49,10
agg13,pro5,10
agg13,pro6,10
agg13,pro7,10
agg13,pro8,10
agg13,pro9,10
agg13,pro23,10
agg13,pro1,10
agg13,pro10,10
agg13,pro11,10
agg13,pro12,10
agg13,pro13,10
agg13,pro14,10
agg13,pro2,10
agg13,pro20,10
agg13,pro21,10
agg13,pro22,10
agg13,pro33,10
agg13,pro24,10
agg13,pro25,10
agg13,pro26,10
agg13,pro27,10
agg13,pro28,10
agg13,pro29,10
agg13,pro3,10
agg13,pro30,10
agg13,pro0,10
agg13,pro32,10
agg14,pro24,5
agg14,pro23,5
agg14,pro22,5
agg14,pro21,5
agg14,pro20,5
agg14,pro49,9
agg14,pro48,9
agg14,pro47,9
agg14,pro46,9
agg14,pro45,9
agg14,pro40,10
agg14,pro34,10
agg14,pro4,10
agg14,pro39,10
agg14,pro38,10
agg14,pro37,10
agg14,pro36,10
agg14,pro35,10
agg14,pro31,10
agg14,pro41,10
agg14,pro42,10
agg14,pro43,10
agg14,pro44,10
agg14,pro5,10
agg14,pro6,10
agg14,pro7,10
agg14,pro8,10
agg14,pro9,10
agg14,pro19,10
agg14,pro1,10
agg14,pro10,10
agg14,pro11,10
agg14,pro12,10
agg14,pro13,10
agg14,pro14,10
agg14,pro15,10
agg14,pro16,10
agg14,pro17,10
agg14,pro18,10
agg14,pro33,10
agg14,pro2,10
agg14,pro25,10
agg14,pro26,10
agg14,pro27,10
agg14,pro28,10
agg14,pro29,10
agg14,pro3,10
agg14,pro30,10
agg14,pro0,10
agg14,pro32,10
agg15,pro29,5
agg15,pro28,5
agg15,pro27,5
agg15,pro26,5
agg15,pro25,5
agg15,pro1,9
agg15,pro0,9
agg15,pro4,9
agg15,pro3,9
agg15,pro2,9
agg15,pro36,10
agg15,pro9,10
agg15,pro37,10
agg15,pro38,10
agg15,pro39,10
agg15,pro40,10
agg15,pro41,10
agg15,pro42,10
agg15,pro43,10
agg15,pro44,10
agg15,pro45,10
agg15,pro46,10
agg15,pro47,10
agg15,pro48,10
agg15,pro49,10
agg15,pro5,10
agg15,pro6,10
agg15,pro7,10
agg15,pro8,10
agg15,pro20,10
agg15,pro10,10
agg15,pro11,10
agg15,pro12,10
agg15,pro13,10
agg15,pro14,10
agg15,pro15,10
agg15,pro16,10
agg15,pro17,10
agg15,pro18,10
agg15,pro19,10
agg15,pro35,10
agg15,pro21,10
agg15,pro22,10
agg15,pro23,10
agg15,pro24,10
agg15,pro30,10
agg15,pro31,10
agg15,pro32,10
agg15,pro33,10
agg15,pro34,10
agg16,pro34,5
agg16,pro33,5
agg16,pro32,5
agg16,pro31,5
agg16,pro30,5
agg16,pro9,9
